Inputs:
Holmium plate(Q4)  | 0.2429/s (437.15)
Power armor mk2(Q3)        | 0.0018/s
Power armor mk2(Q4)        | 0.0014/s
Power armor mk2(Q5)        | 0.0002/s
RC(Q2)                     | 6.0583/s
RC(Q3)                     | 2.5935/s
RC(Q4)                     | 0.6001/s
RC(Q5)                     | 0.1570/s
Solar panel equipment(Q5)  | 0.0083/s
Solar panel(Q5)            | 0.0083/s
Speed(Q3)                  | 0.2377/s
Speed(Q4)                  | 0.0764/s
Speed(Q5)                  | 0.0011/s
Steam                      | 3592.7828/s
Steel chest(Q4)            | 0.1079/s
Steel chest(Q5)            | 0.0356/s
Steel plate                | 230.9660/s
Steel plate(Q2)            | 12.1166/s
Steel plate(Q3)            | 4.5668/s
Steel plate(Q4)            | 1.5311/s
Steel plate(Q5)            | 0.4812/s
Stone                      | (+309.6626/s)
Substation(Q2)             | 1.3631/s
Substation(Q3)             | 0.6595/s
Substation(Q4)             | 0.1161/s
Substation(Q5)             | 0.0129/s
Sulfuric acid              | 361.3310/s
Supercapacitor(Q4)         | 0.0707/s
Supercapacitor(Q5)         | 0.0102/s
Superconductor(Q4)         | 0.0707/s
Superconductor(Q5)         | 0.0102/s
UG pipe                    | 33.1467/s
UG pipe(Q2)                | 10.7542/s
UG pipe(Q3)                | 1.7395/s
UG pipe(Q4)                | 0.4911/s
UG pipe(Q5)                | 0.1094/s
Water                      | 311.3512/s

Surpluses:
Stone | 309.6626/s

Symbols used:
Asm 2                                          | 21.6333
Asm 3                                          | 13.5862
Asm 3[Qual 3(Q5) x4]                           | 0.2188
Beacon                                         | 19.5597
Big mining drill                               | 34.5439
Chem plant                                     | 34.8959
EMP                                            | 2.5483
EMP(Q3)[Prod 2(Q4) x5, Beacon(Q3)[Speed 3] x4] | 0.6000
EMP(Q3)[Qual 2(Q5) x5]                         | 0.6000
Foundry                                        | 91.2429
Prod                                           | 6.6410
Prod 2                                         | 12.7075
Qual                                           | 41.9137
Qual 2                                         | 336.0519
Recycler                                       | 18.0959
Recycler(Q3)[Qual 3(Q5) x4]                    | 0.6000
Refinery                                       | 5.3330
Speed                                          | 311.4469
Speed 2                                        | 2.0270
Speed 3                                        | 39.1193
